01,10,12,13,14,15,16,17,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,44,45,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,67,70,72,73,75,78,79,80,82,83,87,99
1.0,0.3183,0.2,0.1711,0.681,0.975,0.9631,0.9247,0.9185,0.8558,0.9122,0.8387,0.9596,0.8839,0.929,0.8328,0.7731,0.6744,0.8412,0.7943,0.8267,0.88,0.9153,0.7944,0.6794,0.8293,0.7389,0.7286,0.7279,0.8985,0.6028,0.9762,0.4665,0.7239,0.9428,0.9209,0.9056,0.899,0.8609,0.7967,0.9343,0.8406,0.798,0.9873,0.8222,0.9875,0.9104,0.899,0.9256,0.8568,0.9574,0.8832,0.8913,0.8685,0.757,0.9592,0.6922,0.9573,0.7804,0.8764,0.8733,0.9,0.6719
0.3183,1.0,0.9803,0.9437,0.8315,0.4825,0.5255,0.3841,-0.0822,-0.2031,-0.0241,-0.1964,0.4683,-0.152,0.0011,-0.225,-0.3422,0.8807,-0.2341,-0.2329,0.5165,0.5214,0.0444,-0.2899,-0.4582,0.1225,-0.3982,-0.3833,0.6053,0.35,0.9284,0.3953,0.7536,-0.3275,0.5449,-0.05,-0.1026,-0.1248,-0.1852,-0.2899,0.079,-0.1961,-0.2906,0.2244,-0.2547,0.2578,-0.0855,-0.1133,-0.0479,-0.1795,0.4871,0.4746,0.4725,-0.1812,-0.3578,0.3125,-0.345,0.4135,-0.3217,-0.1388,-0.1439,-0.1221,-0.454
0.2,0.9803,1.0,0.9866,0.7738,0.3525,0.4378,0.2738,-0.1995,-0.3284,-0.1426,-0.3065,0.3523,-0.277,-0.1049,-0.3609,-0.4597,0.8403,-0.3524,-0.3352,0.4254,0.4282,-0.0764,-0.4097,-0.5742,0.0283,-0.5115,-0.4914,0.515,0.2197,0.8868,0.265,0.6916,-0.4741,0.4629,-0.1809,-0.2281,-0.2463,-0.297,-0.4,-0.0594,-0.3043,-0.4225,0.1049,-0.3718,0.1372,-0.209,-0.2428,-0.177,-0.3113,0.3634,0.3586,0.3472,-0.3076,-0.4858,0.1775,-0.4952,0.2607,-0.4463,-0.2702,-0.271,-0.244,-0.5546
0.1711,0.9437,0.9866,1.0,0.7129,0.3096,0.4195,0.2077,-0.2171,-0.3425,-0.1851,-0.2957,0.2945,-0.3049,-0.1328,-0.4012,-0.4669,0.8071,-0.3774,-0.312,0.3491,0.3632,-0.1297,-0.445,-0.6018,-0.0359,-0.5218,-0.4821,0.4213,0.1337,0.8735,0.2051,0.5884,-0.5347,0.4613,-0.2195,-0.2579,-0.2613,-0.2941,-0.3929,-0.12,-0.2924,-0.4442,0.0902,-0.3732,0.0948,-0.2407,-0.2757,-0.211,-0.3528,0.337,0.3529,0.3319,-0.3245,-0.5097,0.1089,-0.5617,0.199,-0.4583,-0.2845,-0.2797,-0.2593,-0.5808
0.681,0.8315,0.7738,0.7129,1.0,0.7554,0.8198,0.8129,0.3742,0.2224,0.484,0.1735,0.8358,0.3221,0.499,0.2518,0.0864,0.978,0.2577,0.1004,0.9021,0.9001,0.5525,0.2232,0.0294,0.6499,0.0554,0.0011,0.9319,0.7795,0.8691,0.7718,0.924,0.1488,0.7723,0.4224,0.3697,0.3136,0.2201,0.1058,0.553,0.1778,0.1365,0.568,0.1515,0.6811,0.3958,0.3563,0.4172,0.3125,0.7055,0.5904,0.5999,0.2505,0.0906,0.7315,0.1236,0.6982,0.0964,0.2527,0.242,0.315,0.0719
0.975,0.4825,0.3525,0.3096,0.7554,1.0,0.9644,0.9,0.8237,0.7588,0.8188,0.7438,0.9586,0.7837,0.8315,0.7327,0.6569,0.7575,0.725,0.6989,0.8255,0.8774,0.8335,0.6713,0.5429,0.7462,0.6102,0.6115,0.7584,0.8839,0.7269,0.9704,0.5506,0.6251,0.9565,0.837,0.8116,0.8054,0.7608,0.6869,0.8733,0.7435,0.697,0.9533,0.7183,0.9458,0.8157,0.807,0.8416,0.7562,0.9897,0.9326,0.9437,0.7733,0.6432,0.9383,0.5972,0.9862,0.673,0.797,0.7915,0.8072,0.5202
0.9631,0.5255,0.4378,0.4195,0.8198,0.9644,1.0,0.9155,0.7925,0.6943,0.8018,0.6898,0.9622,0.7364,0.8342,0.6601,0.5874,0.8367,0.6816,0.6429,0.8667,0.9176,0.8193,0.6225,0.4724,0.778,0.5453,0.5402,0.7903,0.865,0.7708,0.9489,0.5893,0.5206,0.9868,0.7918,0.7688,0.759,0.7143,0.6277,0.8297,0.6935,0.6116,0.9262,0.6555,0.9372,0.7797,0.7563,0.7981,0.6985,0.9514,0.8783,0.8783,0.7113,0.56,0.9104,0.4823,0.9119,0.5929,0.7232,0.7224,0.7602,0.4809
0.9247,0.3841,0.2738,0.2077,0.8129,0.9,0.9155,1.0,0.8179,0.7134,0.9005,0.641,0.9852,0.7991,0.8989,0.7589,0.6227,0.7448,0.7638,0.5655,0.9719,0.9842,0.9343,0.748,0.6046,0.9497,0.6115,0.5357,0.9166,0.9885,0.5723,0.9748,0.7152,0.6836,0.8409,0.8589,0.8268,0.7748,0.6931,0.6134,0.9287,0.645,0.6607,0.857,0.6531,0.9611,0.845,0.8192,0.8523,0.8017,0.8329,0.6864,0.706,0.7348,0.6383,0.9811,0.6593,0.8889,0.6268,0.7153,0.7033,0.7752,0.6376
0.9185,-0.0822,-0.1995,-0.2171,0.3742,0.8237,0.7925,0.8179,1.0,0.9834,0.973,0.9596,0.8173,0.9941,0.9787,0.9719,0.9544,0.3431,0.9837,0.9266,0.6617,0.7139,0.9488,0.9594,0.9079,0.829,0.9427,0.9226,0.5224,0.8063,0.2435,0.8649,0.187,0.9025,0.7605,0.9913,0.9963,0.9966,0.9797,0.9554,0.954,0.9615,0.96,0.9422,0.9684,0.933,0.9947,0.994,0.9947,0.9787,0.8008,0.7247,0.7349,0.988,0.9458,0.883,0.8771,0.8354,0.9536,0.9776,0.9758,0.9965,0.8994
